20:43:56.911  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
20:43:56.915  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
20:43:56.918  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
20:43:56.922  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
20:43:56.925  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
20:43:56.929  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
20:45:42.059  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
20:45:42.065  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
20:45:42.070  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
20:45:42.074  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
20:45:42.079  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
20:45:42.085  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
20:59:21.819  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
20:59:21.825  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
20:59:21.830  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
20:59:21.835  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
20:59:21.840  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
20:59:21.845  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:18:09.787  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:18:09.798  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:18:09.803  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:18:09.809  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:18:09.815  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:18:09.909  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:21:27.652  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:21:27.665  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:21:27.672  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:21:27.680  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:21:27.812  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:21:27.832  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:35:25.832  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:35:25.854  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:35:25.927  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:35:25.939  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:35:26.071  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:35:26.104  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
10:36:44.486  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
10:36:44.499  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
10:36:44.522  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
10:36:44.532  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
10:36:44.544  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
10:36:44.641  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
15:08:40.919  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
15:08:40.929  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
15:08:40.940  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
15:08:40.949  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
15:08:40.959  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
15:08:40.968  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
15:21:49.674  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
15:21:49.692  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
15:21:49.718  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
15:21:49.840  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
15:21:49.854  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
15:21:49.868  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:17:55.607  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:17:55.619  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:17:55.627  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:17:55.634  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:17:55.642  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:17:55.652  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
09:21:00.682  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
09:21:00.691  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
09:21:00.698  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
09:21:00.705  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
09:21:00.713  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
09:21:00.723  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
